SiteID, 98359.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.557983
Latitude, 41.103073
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2009,1,1,0,0,16.0,20.917
2009,1,1,0,5,16.0,20.859
2009,1,1,0,10,16.0,20.819
2009,1,1,0,15,16.0,20.715
2009,1,1,0,20,16.0,20.666
2009,1,1,0,25,16.0,20.639
2009,1,1,0,30,16.0,20.618000000000002
2009,1,1,0,35,16.0,20.602
2009,1,1,0,40,16.0,20.633
2009,1,1,0,45,16.0,20.66
2009,1,1,0,50,16.0,20.648
2009,1,1,0,55,16.0,20.575
2009,1,1,1,0,16.0,20.493000000000002
2009,1,1,1,5,16.0,20.419
2009,1,1,1,10,16.0,20.395
2009,1,1,1,15,16.0,20.355
2009,1,1,1,20,16.0,20.3
2009,1,1,1,25,16.0,20.236
2009,1,1,1,30,16.0,20.148
2009,1,1,1,35,16.0,20.093
2009,1,1,1,40,16.0,20.081
2009,1,1,1,45,16.0,20.05
2009,1,1,1,50,16.0,20.017
2009,1,1,1,55,16.0,19.965
2009,1,1,2,0,16.0,19.94
2009,1,1,2,5,16.0,19.895
2009,1,1,2,10,16.0,19.843
2009,1,1,2,15,16.0,19.766000000000002
2009,1,1,2,20,16.0,19.711000000000002
2009,1,1,2,25,16.0,19.714
2009,1,1,2,30,16.0,19.72
2009,1,1,2,35,16.0,19.635
2009,1,1,2,40,16.0,19.584
2009,1,1,2,45,16.0,19.721
2009,1,1,2,50,16.0,20.106
2009,1,1,2,55,16.0,20.56
2009,1,1,3,0,16.0,20.865000000000002
2009,1,1,3,5,16.0,20.923000000000002
2009,1,1,3,10,16.0,20.877
2009,1,1,3,15,16.0,20.771
2009,1,1,3,20,16.0,20.703
2009,1,1,3,25,16.0,20.795
2009,1,1,3,30,16.0,20.844
2009,1,1,3,35,16.0,20.832
2009,1,1,3,40,16.0,20.789
2009,1,1,3,45,16.0,20.813
2009,1,1,3,50,16.0,20.954
2009,1,1,3,55,16.0,21.07
2009,1,1,4,0,16.0,21.091
2009,1,1,4,5,16.0,21.048000000000002
2009,1,1,4,10,16.0,20.981
