SiteID, 98359.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.557983
Latitude, 41.103073
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2008,1,1,0,0,4.772,7.913
2008,1,1,0,5,4.369,7.69
2008,1,1,0,10,3.971,7.47
2008,1,1,0,15,3.624,7.2780000000000005
2008,1,1,0,20,3.327,7.061
2008,1,1,0,25,3.0540000000000003,6.863
2008,1,1,0,30,2.82,6.692
2008,1,1,0,35,2.636,6.558
2008,1,1,0,40,2.464,6.433
2008,1,1,0,45,2.317,6.3260000000000005
2008,1,1,0,50,2.166,6.207
2008,1,1,0,55,2.0420000000000003,6.079
2008,1,1,1,0,1.861,5.893
2008,1,1,1,5,1.6380000000000001,5.664
2008,1,1,1,10,1.418,5.438
2008,1,1,1,15,1.237,5.252
2008,1,1,1,20,1.1400000000000001,5.136
2008,1,1,1,25,1.067,5.032
2008,1,1,1,30,0.985,4.916
2008,1,1,1,35,0.886,4.776
2008,1,1,1,40,0.802,4.657
2008,1,1,1,45,0.793,4.644
2008,1,1,1,50,0.796,4.648
2008,1,1,1,55,0.746,4.577
2008,1,1,2,0,0.632,4.416
2008,1,1,2,5,0.49,4.214
2008,1,1,2,10,0.388,4.016
2008,1,1,2,15,0.34600000000000003,3.918
2008,1,1,2,20,0.355,3.939
2008,1,1,2,25,0.379,3.994
2008,1,1,2,30,0.387,4.013
2008,1,1,2,35,0.359,3.9490000000000003
2008,1,1,2,40,0.304,3.8200000000000003
2008,1,1,2,45,0.232,3.656
2008,1,1,2,50,0.161,3.491
2008,1,1,2,55,0.10200000000000001,3.353
2008,1,1,3,0,0.07100000000000001,3.283
2008,1,1,3,5,0.065,3.2680000000000002
2008,1,1,3,10,0.057,3.25
2008,1,1,3,15,0.033,3.1950000000000003
2008,1,1,3,20,0.0,3.103
2008,1,1,3,25,0.0,2.993
2008,1,1,3,30,0.0,2.896
2008,1,1,3,35,0.0,2.771
2008,1,1,3,40,0.0,2.597
2008,1,1,3,45,0.0,2.404
2008,1,1,3,50,0.0,2.294
2008,1,1,3,55,0.0,2.282
2008,1,1,4,0,0.0,2.2880000000000003
2008,1,1,4,5,0.0,2.23
2008,1,1,4,10,0.0,2.105
2008,1,1,4,15,0.0,1.931
2008,1,1,4,20,0.0,1.77
2008,1,1,4,25,0.0,1.663
2008,1,1,4,30,0.0,1.623
2008,1,1,4,35,0.0,1.62
2008,1,1,4,40,0.0,1.568
2008,1,1,4,45,0.0,1.428
2008,1,1,4,50,0.0,1.266
2008,1,1,4,55,0.0,1.1380000000000001
2008,1,1,5,0,0.0,1.052
2008,1,1,5,5,0.0,0.982
2008,1,1,5,10,0.0,0.936
2008,1,1,5,15,0.0,0.912
2008,1,1,5,20,0.0,0.887
2008,1,1,5,25,0.0,0.86
2008,1,1,5,30,0.0,0.866
2008,1,1,5,35,0.0,0.936
2008,1,1,5,40,0.0,1.01
2008,1,1,5,45,0.0,1.031
2008,1,1,5,50,0.0,1.025
2008,1,1,5,55,0.0,1.046
2008,1,1,6,0,0.0,1.113
2008,1,1,6,5,0.0,1.254
2008,1,1,6,10,0.0,1.428
2008,1,1,6,15,0.0,1.562
2008,1,1,6,20,0.0,1.669
2008,1,1,6,25,0.0,1.776
2008,1,1,6,30,0.0,1.919
2008,1,1,6,35,0.0,2.081
2008,1,1,6,40,0.0,2.197
2008,1,1,6,45,0.0,2.2760000000000002
2008,1,1,6,50,0.0,2.319
2008,1,1,6,55,0.0,2.353
2008,1,1,7,0,0.0,2.4290000000000003
2008,1,1,7,5,0.0,2.539
2008,1,1,7,10,0.0,2.707
2008,1,1,7,15,0.0,2.923
2008,1,1,7,20,0.005,3.1310000000000002
2008,1,1,7,25,0.095,3.338
2008,1,1,7,30,0.19,3.5580000000000003
2008,1,1,7,35,0.28300000000000003,3.775
2008,1,1,7,40,0.372,3.979
2008,1,1,7,45,0.434,4.123
2008,1,1,7,50,0.501,4.233
2008,1,1,7,55,0.5680000000000001,4.327
2008,1,1,8,0,0.667,4.468
2008,1,1,8,5,0.798,4.654
2008,1,1,8,10,0.9470000000000001,4.864
2008,1,1,8,15,1.098,5.078
2008,1,1,8,20,1.2550000000000001,5.273
2008,1,1,8,25,1.439,5.462
2008,1,1,8,30,1.596,5.6240000000000006
2008,1,1,8,35,1.724,5.755
2008,1,1,8,40,1.8840000000000001,5.92
2008,1,1,8,45,2.101,6.143
2008,1,1,8,50,2.379,6.375
2008,1,1,8,55,2.685,6.598
2008,1,1,9,0,3.011,6.836
2008,1,1,9,5,3.341,7.077
2008,1,1,9,10,3.621,7.281000000000001
2008,1,1,9,15,3.89,7.431
2008,1,1,9,20,4.181,7.593
2008,1,1,9,25,4.456,7.745
2008,1,1,9,30,4.714,7.889
2008,1,1,9,35,5.0280000000000005,8.063
2008,1,1,9,40,5.375,8.255
2008,1,1,9,45,5.732,8.429
2008,1,1,9,50,6.088,8.587
2008,1,1,9,55,6.437,8.743
2008,1,1,10,0,6.7780000000000005,8.896
2008,1,1,10,5,7.112,9.045
2008,1,1,10,10,7.564,9.247
2008,1,1,10,15,8.18,9.5
2008,1,1,10,20,8.596,9.659
2008,1,1,10,25,8.89,9.772
2008,1,1,10,30,9.282,9.921
2008,1,1,10,35,9.914,10.162
2008,1,1,10,40,10.68,10.458
2008,1,1,10,45,11.043000000000001,10.614
2008,1,1,10,50,11.241,10.699
2008,1,1,10,55,11.732000000000001,10.91
2008,1,1,11,0,12.073,11.056000000000001
2008,1,1,11,5,12.313,11.16
2008,1,1,11,10,12.689,11.322000000000001
2008,1,1,11,15,13.076,11.496
2008,1,1,11,20,13.266,11.618
2008,1,1,11,25,13.322000000000001,11.655
2008,1,1,11,30,13.493,11.764000000000001
2008,1,1,11,35,13.673,11.88
2008,1,1,11,40,14.081,12.14
2008,1,1,11,45,14.516,12.418000000000001
2008,1,1,11,50,14.724,12.567
2008,1,1,11,55,14.757,12.604000000000001
2008,1,1,12,0,14.952,12.811
2008,1,1,12,5,15.124,12.994
2008,1,1,12,10,15.201,13.077
2008,1,1,12,15,15.396,13.284
2008,1,1,12,20,15.507,13.403
2008,1,1,12,25,15.679,13.593
2008,1,1,12,30,15.729000000000001,13.757
2008,1,1,12,35,15.732000000000001,13.766
2008,1,1,12,40,15.799,13.986
2008,1,1,12,45,15.892,14.291
2008,1,1,12,50,15.971,14.548
2008,1,1,12,55,15.933,14.426
2008,1,1,13,0,16.0,14.655000000000001
