SiteID, 98359.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.557983
Latitude, 41.103073
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2012,1,1,0,0,9.748,10.129
2012,1,1,0,5,9.766,10.135
2012,1,1,0,10,9.76,10.132
2012,1,1,0,15,9.69,10.104000000000001
2012,1,1,0,20,9.636000000000001,10.083
2012,1,1,0,25,9.733,10.119
2012,1,1,0,30,9.903,10.184000000000001
2012,1,1,0,35,9.801,10.144
2012,1,1,0,40,9.578,10.058
2012,1,1,0,45,9.459,10.013
2012,1,1,0,50,9.901,10.181000000000001
2012,1,1,0,55,10.27,10.321
2012,1,1,1,0,10.527000000000001,10.419
2012,1,1,1,5,10.806000000000001,10.534
2012,1,1,1,10,10.644,10.464
2012,1,1,1,15,10.458,10.391
2012,1,1,1,20,10.426,10.379
2012,1,1,1,25,10.394,10.366
2012,1,1,1,30,10.305,10.333
2012,1,1,1,35,9.912,10.183
2012,1,1,1,40,9.278,9.942
2012,1,1,1,45,8.785,9.756
2012,1,1,1,50,8.715,9.732
2012,1,1,1,55,9.117,9.888
2012,1,1,2,0,9.673,10.101
2012,1,1,2,5,10.055,10.248
2012,1,1,2,10,10.318,10.348
2012,1,1,2,15,10.534,10.431000000000001
2012,1,1,2,20,10.669,10.486
2012,1,1,2,25,10.698,10.498
2012,1,1,2,30,10.628,10.468
2012,1,1,2,35,10.544,10.434000000000001
2012,1,1,2,40,10.473,10.406
2012,1,1,2,45,10.338000000000001,10.355
2012,1,1,2,50,10.17,10.290000000000001
2012,1,1,2,55,9.907,10.19
2012,1,1,3,0,9.651,10.092
2012,1,1,3,5,9.331,9.97
2012,1,1,3,10,8.955,9.827
2012,1,1,3,15,8.555,9.674
2012,1,1,3,20,8.131,9.512
2012,1,1,3,25,7.776,9.372
2012,1,1,3,30,7.509,9.253
2012,1,1,3,35,7.284,9.152000000000001
2012,1,1,3,40,7.099,9.07
2012,1,1,3,45,6.921,8.99
2012,1,1,3,50,6.764,8.92
2012,1,1,3,55,6.545,8.822000000000001
2012,1,1,4,0,6.339,8.731
2012,1,1,4,5,6.236,8.685
2012,1,1,4,10,6.25,8.691
2012,1,1,4,15,6.297,8.713000000000001
2012,1,1,4,20,6.297,8.713000000000001
2012,1,1,4,25,6.276,8.703
2012,1,1,4,30,6.255,8.694
2012,1,1,4,35,6.214,8.676
2012,1,1,4,40,6.179,8.661
2012,1,1,4,45,6.227,8.682
2012,1,1,4,50,6.446,8.78
2012,1,1,4,55,6.747,8.914
2012,1,1,5,0,7.015000000000001,9.033
2012,1,1,5,5,7.1530000000000005,9.094
2012,1,1,5,10,7.1530000000000005,9.094
2012,1,1,5,15,7.099,9.07
2012,1,1,5,20,6.964,9.009
2012,1,1,5,25,6.76,8.917
2012,1,1,5,30,6.548,8.823
2012,1,1,5,35,6.412,8.762
2012,1,1,5,40,6.365,8.74
2012,1,1,5,45,6.317,8.719
2012,1,1,5,50,6.195,8.664
2012,1,1,5,55,6.099,8.621
2012,1,1,6,0,6.141,8.639
2012,1,1,6,5,6.223,8.676
2012,1,1,6,10,6.2090000000000005,8.67
2012,1,1,6,15,6.148,8.642
2012,1,1,6,20,6.08,8.612
2012,1,1,6,25,6.066,8.606
2012,1,1,6,30,6.039,8.594
2012,1,1,6,35,5.91,8.536
2012,1,1,6,40,5.712,8.447000000000001
2012,1,1,6,45,5.527,8.365
2012,1,1,6,50,5.414,8.304
2012,1,1,6,55,5.265,8.221
2012,1,1,7,0,5.056,8.105
2012,1,1,7,5,4.864,7.998
2012,1,1,7,10,4.672,7.892
2012,1,1,7,15,4.424,7.7540000000000004
