SiteID, 100373.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.517242
Latitude, 41.249645
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2008,1,1,0,0,4.588,7.809
2008,1,1,0,5,3.964,7.464
2008,1,1,0,10,3.5,7.187
2008,1,1,0,15,3.274,7.022
2008,1,1,0,20,3.194,6.964
2008,1,1,0,25,3.169,6.946
2008,1,1,0,30,3.069,6.872
2008,1,1,0,35,2.88,6.735
2008,1,1,0,40,2.692,6.598
2008,1,1,0,45,2.5540000000000003,6.497
2008,1,1,0,50,2.482,6.445
2008,1,1,0,55,2.37,6.363
2008,1,1,1,0,2.206,6.244
2008,1,1,1,5,2.04,6.0760000000000005
2008,1,1,1,10,1.853,5.883
2008,1,1,1,15,1.6480000000000001,5.673
2008,1,1,1,20,1.502,5.523
2008,1,1,1,25,1.3900000000000001,5.407
2008,1,1,1,30,1.303,5.319
2008,1,1,1,35,1.25,5.264
2008,1,1,1,40,1.187,5.2
2008,1,1,1,45,1.085,5.056
2008,1,1,1,50,0.9470000000000001,4.861
2008,1,1,1,55,0.803,4.657
2008,1,1,2,0,0.667,4.464
2008,1,1,2,5,0.5700000000000001,4.327
2008,1,1,2,10,0.51,4.242
2008,1,1,2,15,0.464,4.178
2008,1,1,2,20,0.427,4.104
2008,1,1,2,25,0.40700000000000003,4.058
2008,1,1,2,30,0.399,4.04
2008,1,1,2,35,0.369,3.97
2008,1,1,2,40,0.319,3.854
2008,1,1,2,45,0.267,3.735
2008,1,1,2,50,0.217,3.619
2008,1,1,2,55,0.169,3.509
2008,1,1,3,0,0.13,3.418
2008,1,1,3,5,0.095,3.338
2008,1,1,3,10,0.07200000000000001,3.283
2008,1,1,3,15,0.048,3.228
2008,1,1,3,20,0.015,3.152
2008,1,1,3,25,0.0,3.039
2008,1,1,3,30,0.0,2.911
2008,1,1,3,35,0.0,2.761
2008,1,1,3,40,0.0,2.661
2008,1,1,3,45,0.0,2.594
2008,1,1,3,50,0.0,2.511
2008,1,1,3,55,0.0,2.407
2008,1,1,4,0,0.0,2.298
2008,1,1,4,5,0.0,2.188
2008,1,1,4,10,0.0,2.072
2008,1,1,4,15,0.0,1.992
2008,1,1,4,20,0.0,1.965
2008,1,1,4,25,0.0,1.95
2008,1,1,4,30,0.0,1.889
2008,1,1,4,35,0.0,1.788
2008,1,1,4,40,0.0,1.663
2008,1,1,4,45,0.0,1.556
2008,1,1,4,50,0.0,1.467
2008,1,1,4,55,0.0,1.373
2008,1,1,5,0,0.0,1.303
2008,1,1,5,5,0.0,1.2510000000000001
2008,1,1,5,10,0.0,1.202
2008,1,1,5,15,0.0,1.1320000000000001
2008,1,1,5,20,0.0,1.055
2008,1,1,5,25,0.0,1.004
2008,1,1,5,30,0.0,1.0070000000000001
2008,1,1,5,35,0.0,1.028
2008,1,1,5,40,0.0,1.068
2008,1,1,5,45,0.0,1.168
2008,1,1,5,50,0.0,1.303
2008,1,1,5,55,0.0,1.397
2008,1,1,6,0,0.0,1.443
2008,1,1,6,5,0.0,1.455
2008,1,1,6,10,0.0,1.495
2008,1,1,6,15,0.0,1.58
2008,1,1,6,20,0.0,1.705
2008,1,1,6,25,0.0,1.837
2008,1,1,6,30,0.0,1.977
2008,1,1,6,35,0.0,2.096
2008,1,1,6,40,0.0,2.23
2008,1,1,6,45,0.0,2.38
2008,1,1,6,50,0.0,2.508
2008,1,1,6,55,0.0,2.594
2008,1,1,7,0,0.0,2.652
2008,1,1,7,5,0.0,2.706
2008,1,1,7,10,0.0,2.719
2008,1,1,7,15,0.0,2.755
2008,1,1,7,20,0.0,2.89
2008,1,1,7,25,0.0,3.082
2008,1,1,7,30,0.096,3.341
2008,1,1,7,35,0.214,3.613
2008,1,1,7,40,0.313,3.842
2008,1,1,7,45,0.39,4.022
2008,1,1,7,50,0.454,4.165
2008,1,1,7,55,0.56,4.315
2008,1,1,8,0,0.655,4.449
2008,1,1,8,5,0.765,4.605
2008,1,1,8,10,0.868,4.751
2008,1,1,8,15,0.984,4.916
2008,1,1,8,20,1.122,5.111
2008,1,1,8,25,1.2590000000000001,5.276
2008,1,1,8,30,1.449,5.471
2008,1,1,8,35,1.6540000000000001,5.682
2008,1,1,8,40,1.799,5.832
2008,1,1,8,45,1.915,5.9510000000000005
2008,1,1,8,50,2.06,6.1000000000000005
2008,1,1,8,55,2.234,6.268
2008,1,1,9,0,2.4090000000000003,6.396
2008,1,1,9,5,2.618,6.549
2008,1,1,9,10,2.915,6.765000000000001
2008,1,1,9,15,3.22,6.988
2008,1,1,9,20,3.496,7.19
2008,1,1,9,25,3.8080000000000003,7.385
2008,1,1,9,30,4.138,7.5680000000000005
2008,1,1,9,35,4.535,7.788
2008,1,1,9,40,4.937,8.011000000000001
2008,1,1,9,45,5.323,8.224
2008,1,1,9,50,5.736,8.429
2008,1,1,9,55,6.16,8.618
2008,1,1,10,0,6.646,8.835
2008,1,1,10,5,7.139,9.054
2008,1,1,10,10,7.585,9.253
2008,1,1,10,15,7.923,9.399000000000001
2008,1,1,10,20,8.242,9.521
2008,1,1,10,25,8.465,9.607
2008,1,1,10,30,8.663,9.683
2008,1,1,10,35,8.838000000000001,9.75
2008,1,1,10,40,9.124,9.86
2008,1,1,10,45,9.765,10.104000000000001
2008,1,1,10,50,10.358,10.33
2008,1,1,10,55,10.435,10.361
2008,1,1,11,0,10.679,10.458
2008,1,1,11,5,11.242,10.699
2008,1,1,11,10,11.733,10.91
2008,1,1,11,15,12.274000000000001,11.142
2008,1,1,11,20,12.822000000000001,11.377
2008,1,1,11,25,13.185,11.563
2008,1,1,11,30,13.361,11.676
2008,1,1,11,35,13.421000000000001,11.716000000000001
2008,1,1,11,40,13.651,11.862
2008,1,1,11,45,13.894,12.018
2008,1,1,11,50,14.273,12.259
2008,1,1,11,55,14.516,12.414
2008,1,1,12,0,14.732000000000001,12.573
2008,1,1,12,5,14.821,12.668000000000001
2008,1,1,12,10,14.969000000000001,12.826
2008,1,1,12,15,15.188,13.058
2008,1,1,12,20,15.327,13.208
2008,1,1,12,25,15.453000000000001,13.342
2008,1,1,12,30,15.662,13.565
2008,1,1,12,35,15.727,13.745000000000001
2008,1,1,12,40,15.794,13.965
2008,1,1,12,45,15.852,14.154
2008,1,1,12,50,15.896,14.297
2008,1,1,12,55,15.946,14.462
2008,1,1,13,0,15.954,14.49
2008,1,1,13,5,15.982000000000001,14.581
2008,1,1,13,10,16.0,14.929
2008,1,1,13,15,16.0,15.164
2008,1,1,13,20,16.0,15.131
2008,1,1,13,25,16.0,15.515
2008,1,1,13,30,16.0,15.887
2008,1,1,13,35,16.0,15.741
2008,1,1,13,40,16.0,15.42
2008,1,1,13,45,16.0,15.329
2008,1,1,13,50,16.0,16.205000000000002
2008,1,1,13,55,16.0,17.23
2008,1,1,14,0,16.0,17.075
2008,1,1,14,5,16.0,16.101
