SiteID, 100373.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.517242
Latitude, 41.249645
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2012,1,1,0,0,10.663,10.48
2012,1,1,0,5,10.928,10.592
2012,1,1,0,10,11.215,10.715
2012,1,1,0,15,11.558,10.861
2012,1,1,0,20,11.496,10.834
2012,1,1,0,25,11.048,10.641
2012,1,1,0,30,10.927,10.589
2012,1,1,0,35,11.228,10.718
2012,1,1,0,40,11.409,10.794
2012,1,1,0,45,11.38,10.782
2012,1,1,0,50,11.051,10.641
2012,1,1,0,55,10.511000000000001,10.416
2012,1,1,1,0,10.052,10.242
2012,1,1,1,5,9.554,10.052
2012,1,1,1,10,9.699,10.107000000000001
2012,1,1,1,15,10.224,10.306000000000001
2012,1,1,1,20,10.493,10.406
2012,1,1,1,25,10.477,10.4
2012,1,1,1,30,10.299,10.333
2012,1,1,1,35,9.857,10.165000000000001
2012,1,1,1,40,9.503,10.031
2012,1,1,1,45,9.389,9.988
2012,1,1,1,50,9.395,9.991
2012,1,1,1,55,9.361,9.979000000000001
2012,1,1,2,0,9.384,9.988
2012,1,1,2,5,9.311,9.961
2012,1,1,2,10,9.216000000000001,9.924
2012,1,1,2,15,9.177,9.909
2012,1,1,2,20,9.154,9.9
2012,1,1,2,25,9.131,9.891
2012,1,1,2,30,9.131,9.891
2012,1,1,2,35,9.066,9.866
2012,1,1,2,40,8.93,9.814
2012,1,1,2,45,8.866,9.790000000000001
2012,1,1,2,50,8.69,9.723
2012,1,1,2,55,8.401,9.613
2012,1,1,3,0,8.161,9.521
2012,1,1,3,5,7.9030000000000005,9.424
2012,1,1,3,10,7.7780000000000005,9.372
2012,1,1,3,15,7.715,9.344
2012,1,1,3,20,7.66,9.32
2012,1,1,3,25,7.604,9.295
2012,1,1,3,30,7.494,9.247
2012,1,1,3,35,7.432,9.219
2012,1,1,3,40,7.343,9.179
2012,1,1,3,45,7.131,9.085
2012,1,1,3,50,6.912,8.987
2012,1,1,3,55,6.768,8.923
2012,1,1,4,0,6.692,8.89
2012,1,1,4,5,6.747,8.914
2012,1,1,4,10,6.897,8.981
2012,1,1,4,15,7.136,9.088000000000001
2012,1,1,4,20,7.477,9.24
2012,1,1,4,25,7.833,9.399000000000001
2012,1,1,4,30,8.174,9.53
2012,1,1,4,35,8.439,9.631
2012,1,1,4,40,8.584,9.686
2012,1,1,4,45,8.713000000000001,9.735
2012,1,1,4,50,8.834,9.781
2012,1,1,4,55,8.835,9.781
2012,1,1,5,0,8.628,9.701
2012,1,1,5,5,8.381,9.607
2012,1,1,5,10,8.182,9.53
2012,1,1,5,15,8.046,9.479000000000001
2012,1,1,5,20,7.918,9.43
2012,1,1,5,25,7.745,9.356
2012,1,1,5,30,7.472,9.234
2012,1,1,5,35,7.089,9.063
2012,1,1,5,40,6.652,8.868
2012,1,1,5,45,6.3100000000000005,8.716
2012,1,1,5,50,6.05,8.6
2012,1,1,5,55,5.873,8.52
2012,1,1,6,0,5.695,8.441
2012,1,1,6,5,5.433,8.316
2012,1,1,6,10,5.158,8.163
2012,1,1,6,15,4.982,8.066
2012,1,1,6,20,4.9110000000000005,8.026
2012,1,1,6,25,4.906,8.023
2012,1,1,6,30,4.8020000000000005,7.965
2012,1,1,6,35,4.599,7.852
2012,1,1,6,40,4.341,7.708
2012,1,1,6,45,4.055,7.55
2012,1,1,6,50,3.819,7.4190000000000005
2012,1,1,6,55,3.6710000000000003,7.336
2012,1,1,7,0,3.593,7.287
2012,1,1,7,5,3.46,7.19
2012,1,1,7,10,3.343,7.104
2012,1,1,7,15,3.36,7.1160000000000005
2012,1,1,7,20,3.465,7.1930000000000005
2012,1,1,7,25,3.5020000000000002,7.22
2012,1,1,7,30,3.436,7.171
2012,1,1,7,35,3.373,7.126
2012,1,1,7,40,3.398,7.144
2012,1,1,7,45,3.415,7.156000000000001
2012,1,1,7,50,3.278,7.055
2012,1,1,7,55,3.069,6.9030000000000005
2012,1,1,8,0,2.852,6.744
2012,1,1,8,5,2.619,6.573
2012,1,1,8,10,2.468,6.463
2012,1,1,8,15,2.431,6.436
2012,1,1,8,20,2.406,6.418
2012,1,1,8,25,2.318,6.353
2012,1,1,8,30,2.2520000000000002,6.305
2012,1,1,8,35,2.1470000000000002,6.213
2012,1,1,8,40,2.0340000000000003,6.097
2012,1,1,8,45,1.889,5.948
2012,1,1,8,50,1.816,5.871
2012,1,1,8,55,1.739,5.792
2012,1,1,9,0,1.576,5.6240000000000006
2012,1,1,9,5,1.455,5.4990000000000006
2012,1,1,9,10,1.395,5.438
2012,1,1,9,15,1.324,5.365
2012,1,1,9,20,1.28,5.319
2012,1,1,9,25,1.25,5.288
2012,1,1,9,30,1.197,5.2330000000000005
2012,1,1,9,35,1.157,5.182
2012,1,1,9,40,1.092,5.09
2012,1,1,9,45,0.9440000000000001,4.8790000000000004
2012,1,1,9,50,0.79,4.66
2012,1,1,9,55,0.719,4.559
2012,1,1,10,0,0.685,4.51
2012,1,1,10,5,0.663,4.48
2012,1,1,10,10,0.601,4.391
2012,1,1,10,15,0.515,4.269
2012,1,1,10,20,0.42,4.107
2012,1,1,10,25,0.34700000000000003,3.939
2012,1,1,10,30,0.304,3.839
2012,1,1,10,35,0.301,3.833
2012,1,1,10,40,0.303,3.8360000000000003
2012,1,1,10,45,0.28700000000000003,3.799
2012,1,1,10,50,0.246,3.704
2012,1,1,10,55,0.209,3.619
2012,1,1,11,0,0.18,3.552
2012,1,1,11,5,0.17,3.527
2012,1,1,11,10,0.167,3.521
2012,1,1,11,15,0.153,3.488
2012,1,1,11,20,0.117,3.4050000000000002
2012,1,1,11,25,0.07,3.295
2012,1,1,11,30,0.024,3.189
2012,1,1,11,35,0.0,3.128
2012,1,1,11,40,0.007,3.149
2012,1,1,11,45,0.005,3.146
2012,1,1,11,50,0.029,3.201
2012,1,1,11,55,0.063,3.2800000000000002
2012,1,1,12,0,0.093,3.35
2012,1,1,12,5,0.101,3.369
2012,1,1,12,10,0.084,3.329
2012,1,1,12,15,0.085,3.332
2012,1,1,12,20,0.068,3.2920000000000003
2012,1,1,12,25,0.05,3.25
2012,1,1,12,30,0.0,3.115
2012,1,1,12,35,0.0,3.0180000000000002
2012,1,1,12,40,0.0,2.8930000000000002
2012,1,1,12,45,0.0,2.841
2012,1,1,12,50,0.0,2.865
2012,1,1,12,55,0.0,2.9170000000000003
2012,1,1,13,0,0.0,3.045
2012,1,1,13,5,0.016,3.173
2012,1,1,13,10,0.078,3.317
2012,1,1,13,15,0.14,3.46
2012,1,1,13,20,0.212,3.628
2012,1,1,13,25,0.225,3.6590000000000003
2012,1,1,13,30,0.276,3.778
2012,1,1,13,35,0.343,3.9330000000000003
2012,1,1,13,40,0.425,4.126
2012,1,1,13,45,0.466,4.205
2012,1,1,13,50,0.541,4.312
2012,1,1,13,55,0.624,4.431
2012,1,1,14,0,0.6930000000000001,4.5280000000000005
2012,1,1,14,5,0.748,4.6080000000000005
2012,1,1,14,10,0.8,4.681
2012,1,1,14,15,0.844,4.745
2012,1,1,14,20,0.934,4.873
2012,1,1,14,25,1.056,5.047
2012,1,1,14,30,1.129,5.151
2012,1,1,14,35,1.306,5.355
2012,1,1,14,40,1.456,5.511
2012,1,1,14,45,1.423,5.478
2012,1,1,14,50,1.42,5.4750000000000005
2012,1,1,14,55,1.52,5.578
2012,1,1,15,0,1.597,5.658
2012,1,1,15,5,1.706,5.771
2012,1,1,15,10,1.815,5.883
2012,1,1,15,15,1.956,6.03
2012,1,1,15,20,2.106,6.186
2012,1,1,15,25,2.085,6.164
2012,1,1,15,30,2.0260000000000002,6.103
2012,1,1,15,35,2.011,6.088
2012,1,1,15,40,2.188,6.271
2012,1,1,15,45,2.388,6.421
2012,1,1,15,50,2.471,6.482
2012,1,1,15,55,2.658,6.619
2012,1,1,16,0,2.836,6.75
2012,1,1,16,5,3.048,6.906000000000001
2012,1,1,16,10,3.473,7.2170000000000005
2012,1,1,16,15,3.736,7.391
2012,1,1,16,20,3.801,7.428
2012,1,1,16,25,3.992,7.535
2012,1,1,16,30,4.271,7.69
2012,1,1,16,35,4.533,7.837
2012,1,1,16,40,4.829,8.001
2012,1,1,16,45,5.167,8.191
2012,1,1,16,50,5.494,8.374
2012,1,1,16,55,5.9670000000000005,8.587
2012,1,1,17,0,6.355,8.761000000000001
2012,1,1,17,5,6.851,8.984
2012,1,1,17,10,7.075,9.085
2012,1,1,17,15,6.986,9.045
2012,1,1,17,20,7.198,9.14
2012,1,1,17,25,7.861,9.436
2012,1,1,17,30,8.412,9.646
2012,1,1,17,35,8.482,9.674
2012,1,1,17,40,7.922000000000001,9.46
2012,1,1,17,45,7.113,9.103
2012,1,1,17,50,5.563,8.41
2012,1,1,17,55,4.602,7.882000000000001
2012,1,1,18,0,4.813,8.001
2012,1,1,18,5,5.1080000000000005,8.166
2012,1,1,18,10,4.867,8.032
2012,1,1,18,15,6.614,8.883000000000001
2012,1,1,18,20,6.502,8.835
2012,1,1,18,25,4.987,8.102
2012,1,1,18,30,5.045,8.136000000000001
2012,1,1,18,35,6.321,8.758000000000001
2012,1,1,18,40,6.761,8.957
2012,1,1,18,45,7.389,9.237
2012,1,1,18,50,6.9270000000000005,9.03
2012,1,1,18,55,7.737,9.393
2012,1,1,19,0,8.312,9.622
2012,1,1,19,5,8.645,9.75
2012,1,1,19,10,9.73,10.165000000000001
2012,1,1,19,15,8.922,9.857
2012,1,1,19,20,8.954,9.869
2012,1,1,19,25,10.094,10.306000000000001
2012,1,1,19,30,9.525,10.089
2012,1,1,19,35,9.532,10.092
2012,1,1,19,40,10.298,10.385
2012,1,1,19,45,10.024000000000001,10.281
2012,1,1,19,50,10.021,10.281
2012,1,1,19,55,10.018,10.281
2012,1,1,20,0,10.311,10.394
2012,1,1,20,5,11.676,10.968
2012,1,1,20,10,12.007,11.111
2012,1,1,20,15,11.805,11.026
2012,1,1,20,20,10.529,10.483
2012,1,1,20,25,11.419,10.861
2012,1,1,20,30,11.672,10.971
2012,1,1,20,35,11.238,10.785
2012,1,1,20,40,11.166,10.754
2012,1,1,20,45,11.228,10.782
2012,1,1,20,50,11.346,10.834
2012,1,1,20,55,11.509,10.907
2012,1,1,21,0,11.744,11.011000000000001
2012,1,1,21,5,11.674,10.98
2012,1,1,21,10,12.382,11.288
2012,1,1,21,15,12.289,11.249
2012,1,1,21,20,12.017,11.13
2012,1,1,21,25,13.152000000000001,11.642
2012,1,1,21,30,13.137,11.636000000000001
2012,1,1,21,35,12.398,11.297
2012,1,1,21,40,12.302,11.255
2012,1,1,21,45,12.665000000000001,11.413
2012,1,1,21,50,13.182,11.667
2012,1,1,21,55,13.094,11.609
2012,1,1,22,0,13.237,11.700000000000001
2012,1,1,22,5,13.655000000000001,11.969
2012,1,1,22,10,13.735,12.021
2012,1,1,22,15,13.802,12.063
2012,1,1,22,20,13.797,12.06
2012,1,1,22,25,13.9,12.128
2012,1,1,22,30,14.071,12.237
2012,1,1,22,35,14.518,12.524000000000001
2012,1,1,22,40,14.684000000000001,12.631
2012,1,1,22,45,14.898,12.86
2012,1,1,22,50,14.511000000000001,12.524000000000001
