SiteID, 100373.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.517242
Latitude, 41.249645
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2010,1,1,0,0,2.465,6.469
2010,1,1,0,5,2.5020000000000002,6.497
2010,1,1,0,10,2.539,6.524
2010,1,1,0,15,2.602,6.57
2010,1,1,0,20,2.664,6.6160000000000005
2010,1,1,0,25,2.7560000000000002,6.683
2010,1,1,0,30,2.81,6.723
2010,1,1,0,35,2.818,6.729
2010,1,1,0,40,2.809,6.723
2010,1,1,0,45,2.801,6.7170000000000005
2010,1,1,0,50,2.813,6.726
2010,1,1,0,55,2.83,6.738
2010,1,1,1,0,2.763,6.689
2010,1,1,1,5,2.692,6.6370000000000005
2010,1,1,1,10,2.692,6.6370000000000005
2010,1,1,1,15,2.638,6.598
2010,1,1,1,20,2.5460000000000003,6.53
2010,1,1,1,25,2.446,6.457
2010,1,1,1,30,2.358,6.393
2010,1,1,1,35,2.146,6.222
2010,1,1,1,40,1.954,6.024
2010,1,1,1,45,1.847,5.914
2010,1,1,1,50,1.776,5.841
2010,1,1,1,55,1.7910000000000001,5.856
2010,1,1,2,0,1.859,5.926
2010,1,1,2,5,1.971,6.042
2010,1,1,2,10,2.128,6.204
2010,1,1,2,15,2.271,6.329
2010,1,1,2,20,2.362,6.396
2010,1,1,2,25,2.4250000000000003,6.442
2010,1,1,2,30,2.442,6.454
2010,1,1,2,35,2.45,6.46
2010,1,1,2,40,2.476,6.479
2010,1,1,2,45,2.622,6.585
2010,1,1,2,50,2.7600000000000002,6.686
2010,1,1,2,55,2.902,6.79
2010,1,1,3,0,3.052,6.9
2010,1,1,3,5,3.227,7.0280000000000005
2010,1,1,3,10,3.423,7.171
2010,1,1,3,15,3.607,7.306
2010,1,1,3,20,3.761,7.394
2010,1,1,3,25,3.8810000000000002,7.461
2010,1,1,3,30,3.9090000000000003,7.477
2010,1,1,3,35,3.964,7.507000000000001
2010,1,1,3,40,4.306,7.696
2010,1,1,3,45,4.604,7.861
2010,1,1,3,50,4.78,7.9590000000000005
2010,1,1,3,55,4.8020000000000005,7.971
2010,1,1,4,0,4.742,7.937
2010,1,1,4,5,4.765,7.95
2010,1,1,4,10,4.876,8.011000000000001
2010,1,1,4,15,5.041,8.102
2010,1,1,4,20,5.168,8.172
2010,1,1,4,25,5.196,8.188
2010,1,1,4,30,5.163,8.169
2010,1,1,4,35,5.114,8.142
2010,1,1,4,40,5.07,8.117
2010,1,1,4,45,5.032,8.096
2010,1,1,4,50,5.043,8.102
2010,1,1,4,55,5.098,8.133000000000001
2010,1,1,5,0,5.114,8.142
2010,1,1,5,5,5.026,8.093
2010,1,1,5,10,4.861,8.001
2010,1,1,5,15,4.657,7.889
2010,1,1,5,20,4.498,7.8
