SiteID, 100373.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.517242
Latitude, 41.249645
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2011,1,1,0,0,11.925,11.007
2011,1,1,0,5,12.174,11.114
2011,1,1,0,10,12.86,11.407
2011,1,1,0,15,13.231,11.606
2011,1,1,0,20,13.303,11.651
2011,1,1,0,25,13.529,11.795
2011,1,1,0,30,13.774000000000001,11.951
2011,1,1,0,35,14.081,12.146
2011,1,1,0,40,14.264000000000001,12.262
2011,1,1,0,45,14.22,12.234
2011,1,1,0,50,14.422,12.363
2011,1,1,0,55,14.267,12.265
2011,1,1,1,0,14.229000000000001,12.24
2011,1,1,1,5,14.34,12.311
2011,1,1,1,10,14.268,12.265
2011,1,1,1,15,14.215,12.231
2011,1,1,1,20,14.196,12.219
2011,1,1,1,25,14.042,12.121
2011,1,1,1,30,13.821,11.981
2011,1,1,1,35,13.792,11.963000000000001
2011,1,1,1,40,13.445,11.743
2011,1,1,1,45,13.397,11.713000000000001
2011,1,1,1,50,13.388,11.706
2011,1,1,1,55,13.422,11.728
2011,1,1,2,0,13.331,11.67
2011,1,1,2,5,13.196,11.584
2011,1,1,2,10,13.172,11.569
2011,1,1,2,15,13.09,11.517
2011,1,1,2,20,13.11,11.529
2011,1,1,2,25,12.636000000000001,11.313
2011,1,1,2,30,12.437,11.227
2011,1,1,2,35,12.458,11.236
2011,1,1,2,40,12.494,11.252
2011,1,1,2,45,12.444,11.23
2011,1,1,2,50,12.323,11.178
2011,1,1,2,55,12.137,11.099
2011,1,1,3,0,12.13,11.096
2011,1,1,3,5,11.851,10.977
2011,1,1,3,10,11.687,10.907
2011,1,1,3,15,11.515,10.834
2011,1,1,3,20,11.758000000000001,10.937
2011,1,1,3,25,11.508000000000001,10.831
2011,1,1,3,30,11.422,10.794
2011,1,1,3,35,11.194,10.696
2011,1,1,3,40,11.13,10.669
2011,1,1,3,45,11.131,10.669
2011,1,1,3,50,11.132,10.669
2011,1,1,3,55,10.889,10.565
2011,1,1,4,0,10.831,10.541
2011,1,1,4,5,11.131,10.669
2011,1,1,4,10,11.531,10.84
2011,1,1,4,15,11.601,10.870000000000001
2011,1,1,4,20,11.808,10.959
2011,1,1,4,25,12.243,11.145
2011,1,1,4,30,12.364,11.197000000000001
2011,1,1,4,35,12.536,11.27
2011,1,1,4,40,12.515,11.261000000000001
