SiteID, 93358.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.87149
Latitude, 40.811035
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2012,1,1,0,0,10.302,10.345
2012,1,1,0,5,9.966000000000001,10.217
2012,1,1,0,10,9.918000000000001,10.199
2012,1,1,0,15,10.102,10.269
2012,1,1,0,20,9.926,10.202
2012,1,1,0,25,9.773,10.144
2012,1,1,0,30,9.645,10.095
2012,1,1,0,35,9.885,10.187
2012,1,1,0,40,10.237,10.321
2012,1,1,0,45,10.157,10.290000000000001
2012,1,1,0,50,10.109,10.272
2012,1,1,0,55,10.236,10.321
2012,1,1,1,0,10.38,10.376
2012,1,1,1,5,10.703,10.504
2012,1,1,1,10,10.83,10.559000000000001
2012,1,1,1,15,10.85,10.568
2012,1,1,1,20,10.954,10.614
2012,1,1,1,25,11.051,10.657
2012,1,1,1,30,11.228,10.733
2012,1,1,1,35,11.335,10.779
2012,1,1,1,40,11.327,10.776
2012,1,1,1,45,11.277000000000001,10.754
2012,1,1,1,50,11.269,10.751
2012,1,1,1,55,11.169,10.708
2012,1,1,2,0,11.011000000000001,10.641
2012,1,1,2,5,10.833,10.565
2012,1,1,2,10,10.612,10.47
2012,1,1,2,15,10.422,10.397
2012,1,1,2,20,10.406,10.391
2012,1,1,2,25,10.31,10.354000000000001
2012,1,1,2,30,10.357000000000001,10.373
2012,1,1,2,35,10.55,10.446
2012,1,1,2,40,10.619,10.473
2012,1,1,2,45,10.698,10.507
2012,1,1,2,50,10.77,10.538
2012,1,1,2,55,10.898,10.592
2012,1,1,3,0,11.034,10.65
2012,1,1,3,5,11.07,10.666
2012,1,1,3,10,11.063,10.663
2012,1,1,3,15,11.078,10.669
2012,1,1,3,20,11.114,10.684000000000001
2012,1,1,3,25,11.122,10.687
2012,1,1,3,30,11.093,10.675
2012,1,1,3,35,11.008000000000001,10.638
2012,1,1,3,40,10.945,10.611
2012,1,1,3,45,10.853,10.571
2012,1,1,3,50,10.739,10.522
2012,1,1,3,55,10.597,10.461
2012,1,1,4,0,10.389,10.382
2012,1,1,4,5,10.053,10.254
2012,1,1,4,10,9.59,10.077
2012,1,1,4,15,9.055,9.872
2012,1,1,4,20,8.599,9.698
2012,1,1,4,25,8.295,9.582
2012,1,1,4,30,8.199,9.546
2012,1,1,4,35,8.215,9.552
2012,1,1,4,40,8.143,9.524000000000001
2012,1,1,4,45,7.944,9.448
2012,1,1,4,50,7.589,9.295
2012,1,1,4,55,7.186,9.115
2012,1,1,5,0,6.844,8.963000000000001
2012,1,1,5,5,6.523000000000001,8.819
2012,1,1,5,10,6.292,8.716
2012,1,1,5,15,6.1690000000000005,8.661
2012,1,1,5,20,6.08,8.621
2012,1,1,5,25,5.964,8.569
2012,1,1,5,30,5.876,8.529
2012,1,1,5,35,5.766,8.481
2012,1,1,5,40,5.671,8.438
2012,1,1,5,45,5.644,8.426
2012,1,1,5,50,5.5760000000000005,8.395
2012,1,1,5,55,5.535,8.377
2012,1,1,6,0,5.569,8.392
2012,1,1,6,5,5.535,8.377
2012,1,1,6,10,5.398,8.304
2012,1,1,6,15,5.245,8.218
2012,1,1,6,20,5.179,8.181000000000001
2012,1,1,6,25,5.162,8.172
2012,1,1,6,30,5.064,8.117
2012,1,1,6,35,4.96,8.059000000000001
2012,1,1,6,40,4.966,8.062
2012,1,1,6,45,4.889,8.02
2012,1,1,6,50,4.5920000000000005,7.855
2012,1,1,6,55,4.043,7.55
2012,1,1,7,0,3.5500000000000003,7.263
2012,1,1,7,5,3.371,7.132000000000001
2012,1,1,7,10,3.388,7.144
2012,1,1,7,15,3.434,7.1770000000000005
2012,1,1,7,20,3.367,7.1290000000000004
2012,1,1,7,25,3.238,7.034
2012,1,1,7,30,3.109,6.939
2012,1,1,7,35,2.996,6.857
2012,1,1,7,40,2.9210000000000003,6.8020000000000005
2012,1,1,7,45,2.871,6.765000000000001
2012,1,1,7,50,2.8040000000000003,6.7170000000000005
2012,1,1,7,55,2.725,6.659
2012,1,1,8,0,2.571,6.546
2012,1,1,8,5,2.212,6.283
2012,1,1,8,10,1.965,6.033
2012,1,1,8,15,1.833,5.896
2012,1,1,8,20,1.735,5.795
2012,1,1,8,25,1.676,5.734
2012,1,1,8,30,1.747,5.807
2012,1,1,8,35,1.883,5.948
2012,1,1,8,40,1.939,6.006
2012,1,1,8,45,1.889,5.954
2012,1,1,8,50,1.8,5.862
2012,1,1,8,55,1.697,5.755
2012,1,1,9,0,1.649,5.706
2012,1,1,9,5,1.561,5.615
2012,1,1,9,10,1.407,5.456
2012,1,1,9,15,1.289,5.3340000000000005
2012,1,1,9,20,1.188,5.23
2012,1,1,9,25,1.159,5.191
2012,1,1,9,30,1.1520000000000001,5.182
2012,1,1,9,35,1.118,5.133
2012,1,1,9,40,1.082,5.081
2012,1,1,9,45,1.0170000000000001,4.989
2012,1,1,9,50,0.918,4.849
