SiteID, 93358.0,Site Timezone,-5.0,Data Timezone,-5.0
Longitude, -69.87149
Latitude, 40.811035
Year,Month,Day,Hour,Minute,power (MW),wind speed at 100m (m/s)
2011,1,1,0,0,10.214,10.306000000000001
2011,1,1,0,5,10.407,10.379
2011,1,1,0,10,10.627,10.464
2011,1,1,0,15,10.762,10.522
2011,1,1,0,20,10.92,10.589
2011,1,1,0,25,10.948,10.602
2011,1,1,0,30,10.783,10.531
2011,1,1,0,35,10.719,10.504
2011,1,1,0,40,10.912,10.586
2011,1,1,0,45,10.833,10.553
2011,1,1,0,50,10.868,10.568
2011,1,1,0,55,10.94,10.599
2011,1,1,1,0,10.919,10.589
2011,1,1,1,5,11.104000000000001,10.669
2011,1,1,1,10,11.054,10.647
2011,1,1,1,15,11.026,10.635
2011,1,1,1,20,10.904,10.583
2011,1,1,1,25,10.747,10.516
2011,1,1,1,30,10.549,10.434000000000001
2011,1,1,1,35,10.748000000000001,10.516
2011,1,1,1,40,10.776,10.528
2011,1,1,1,45,10.762,10.522
2011,1,1,1,50,10.597,10.452
2011,1,1,1,55,10.626,10.464
2011,1,1,2,0,10.669,10.483
2011,1,1,2,5,10.413,10.382
2011,1,1,2,10,9.996,10.223
2011,1,1,2,15,9.796,10.147
2011,1,1,2,20,9.588000000000001,10.068
2011,1,1,2,25,9.379,9.988
2011,1,1,2,30,9.364,9.982000000000001
2011,1,1,2,35,8.988,9.839
2011,1,1,2,40,8.748,9.747
2011,1,1,2,45,8.765,9.753
2011,1,1,2,50,8.573,9.68
2011,1,1,2,55,8.277000000000001,9.567
2011,1,1,3,0,8.117,9.506
2011,1,1,3,5,8.109,9.503
2011,1,1,3,10,7.918,9.43
2011,1,1,3,15,7.614,9.299
2011,1,1,3,20,7.511,9.253
2011,1,1,3,25,7.649,9.314
2011,1,1,3,30,7.635,9.308
2011,1,1,3,35,7.828,9.393
2011,1,1,3,40,7.718,9.344
2011,1,1,3,45,7.808,9.384
2011,1,1,3,50,7.644,9.311
2011,1,1,3,55,7.665,9.32
2011,1,1,4,0,7.275,9.146
2011,1,1,4,5,7.159,9.094
2011,1,1,4,10,7.263,9.14
2011,1,1,4,15,7.215,9.119
2011,1,1,4,20,7.243,9.131
2011,1,1,4,25,7.202,9.112
2011,1,1,4,30,6.867,8.963000000000001
2011,1,1,4,35,6.84,8.951
2011,1,1,4,40,6.738,8.905
2011,1,1,4,45,6.5120000000000005,8.804
2011,1,1,4,50,6.471,8.786
2011,1,1,4,55,6.7170000000000005,8.896
2011,1,1,5,0,6.6690000000000005,8.874
2011,1,1,5,5,6.704,8.89
2011,1,1,5,10,6.8,8.932
2011,1,1,5,15,6.9510000000000005,8.999
2011,1,1,5,20,7.026,9.033
2011,1,1,5,25,7.019,9.03
2011,1,1,5,30,6.971,9.009
2011,1,1,5,35,6.979,9.012
2011,1,1,5,40,7.109,9.07
2011,1,1,5,45,7.157,9.091
2011,1,1,5,50,6.937,8.993
2011,1,1,5,55,6.575,8.832
2011,1,1,6,0,6.335,8.725
2011,1,1,6,5,6.054,8.6
2011,1,1,6,10,5.6770000000000005,8.432
2011,1,1,6,15,5.705,8.444
2011,1,1,6,20,5.712,8.447000000000001
2011,1,1,6,25,5.753,8.465
2011,1,1,6,30,5.862,8.514
2011,1,1,6,35,5.7250000000000005,8.453
2011,1,1,6,40,5.705,8.444
2011,1,1,6,45,5.945,8.551
2011,1,1,6,50,5.781,8.478
2011,1,1,6,55,5.5680000000000005,8.383000000000001
2011,1,1,7,0,5.541,8.371
2011,1,1,7,5,5.534,8.368
2011,1,1,7,10,5.458,8.328
2011,1,1,7,15,5.2540000000000004,8.215
2011,1,1,7,20,5.051,8.102
2011,1,1,7,25,4.859,7.996
2011,1,1,7,30,4.672,7.892
2011,1,1,7,35,4.424,7.7540000000000004
2011,1,1,7,40,4.298,7.684
2011,1,1,7,45,4.1930000000000005,7.626
2011,1,1,7,50,4.094,7.571
2011,1,1,7,55,3.995,7.516
2011,1,1,8,0,3.918,7.474
2011,1,1,8,5,3.973,7.5040000000000004
2011,1,1,8,10,3.9570000000000003,7.495
2011,1,1,8,15,4.05,7.547000000000001
2011,1,1,8,20,4.121,7.587
2011,1,1,8,25,4.176,7.617
2011,1,1,8,30,4.2090000000000005,7.635
2011,1,1,8,35,4.225,7.644
2011,1,1,8,40,4.374,7.727
2011,1,1,8,45,4.505,7.8
2011,1,1,8,50,4.494,7.7940000000000005
2011,1,1,8,55,4.3950000000000005,7.739
2011,1,1,9,0,4.274,7.672000000000001
2011,1,1,9,5,4.164,7.611
2011,1,1,9,10,4.174,7.617
2011,1,1,9,15,4.207,7.635
2011,1,1,9,20,4.295,7.684
2011,1,1,9,25,4.268,7.6690000000000005
2011,1,1,9,30,4.207,7.635
2011,1,1,9,35,4.2010000000000005,7.632000000000001
2011,1,1,9,40,4.222,7.644
2011,1,1,9,45,4.2,7.632000000000001
2011,1,1,9,50,4.233,7.651
2011,1,1,9,55,4.232,7.651
2011,1,1,10,0,4.232,7.651
2011,1,1,10,5,4.127,7.593
2011,1,1,10,10,4.0280000000000005,7.538
2011,1,1,10,15,3.984,7.513
2011,1,1,10,20,3.962,7.501
2011,1,1,10,25,3.857,7.4430000000000005
2011,1,1,10,30,3.686,7.348
2011,1,1,10,35,3.43,7.171
2011,1,1,10,40,3.125,6.949
2011,1,1,10,45,2.883,6.772
2011,1,1,10,50,2.666,6.613
2011,1,1,10,55,2.416,6.43
2011,1,1,11,0,2.237,6.299
2011,1,1,11,5,2.065,6.134
2011,1,1,11,10,1.974,6.039
2011,1,1,11,15,1.9000000000000001,5.963
2011,1,1,11,20,1.8880000000000001,5.9510000000000005
2011,1,1,11,25,1.941,6.006
2011,1,1,11,30,2.0,6.067
2011,1,1,11,35,2.074,6.143
2011,1,1,11,40,2.169,6.2410000000000005
2011,1,1,11,45,2.332,6.369
2011,1,1,11,50,2.524,6.509
2011,1,1,11,55,2.599,6.564
2011,1,1,12,0,2.707,6.643
2011,1,1,12,5,2.861,6.756
2011,1,1,12,10,2.931,6.808
2011,1,1,12,15,2.977,6.8420000000000005
2011,1,1,12,20,2.981,6.845
2011,1,1,12,25,2.931,6.808
2011,1,1,12,30,2.884,6.774
2011,1,1,12,35,2.9090000000000003,6.793
2011,1,1,12,40,2.984,6.848
2011,1,1,12,45,3.025,6.878
